Epoch;Training_Loss;Validation_Loss
1;0.0864916741847992;0.0794573500752449
2;0.06516270339488983;0.055028337985277176
3;0.04947369918227196;0.04777714982628822
4;0.047661956399679184;0.04642084240913391
5;0.04627198725938797;0.04465396702289581
6;0.04491164907813072;0.04355112463235855
7;0.043672721832990646;0.04235586151480675
8;0.042368508875370026;0.040159158408641815
9;0.04089467599987984;0.03952373191714287
10;0.03778894245624542;0.03588356450200081
11;0.03419272229075432;0.032181624323129654
12;0.030846744775772095;0.03134692832827568
13;0.02868555299937725;0.029105544090270996
14;0.027616141363978386;0.027108823880553246
15;0.026884783059358597;0.02736721932888031
16;0.026175541803240776;0.025980299338698387
17;0.025296662002801895;0.023650363087654114
18;0.02448771335184574;0.022485878318548203
19;0.023911332711577415;0.02066243812441826
20;0.022812524810433388;0.020089874044060707
21;0.021769065409898758;0.021573791280388832
22;0.02084008790552616;0.02067260444164276
23;0.018547752872109413;0.02597332000732422
24;0.018359525129199028;0.018927372992038727
25;0.019509559497237206;0.01791965775191784
26;0.017227858304977417;0.025831114500761032
27;0.016037916764616966;0.021700965240597725
28;0.01665300317108631;0.03318694233894348
29;0.018173541873693466;0.014822247438132763
30;0.015286395326256752;0.020573455840349197
31;0.01533549651503563;0.014365148730576038
32;0.015028492547571659;0.01359795592725277
33;0.016185114160180092;0.0140149537473917
34;0.01413259468972683;0.013188468292355537
35;0.014408632181584835;0.013226509094238281
36;0.013747896067798138;0.010311370715498924
37;0.0148632125928998;0.009135967120528221
38;0.013549732975661755;0.010768852196633816
39;0.013569524511694908;0.014631574042141438
40;0.01386311836540699;0.013105859979987144
41;0.013245769776403904;0.00940517708659172
42;0.0145183140411973;0.01784393936395645
43;0.01537770964205265;0.020207207649946213
44;0.01177384052425623;0.017375752329826355
45;0.012000481598079205;0.017621973529458046
46;0.011518205516040325;0.018280308693647385
47;0.012400481849908829;0.017662299796938896
48;0.011933527886867523;0.01602494902908802
49;0.010019849985837936;0.013078434392809868
50;0.010415887460112572;0.013276402838528156
51;0.010107270441949368;0.014185106381773949
52;0.011227692477405071;0.013979556038975716
53;0.009547736495733261;0.012722472660243511
54;0.008757912553846836;0.00979684665799141
55;0.008453727699816227;0.008862532675266266
56;0.008321728557348251;0.007703268434852362
57;0.007860686630010605;0.008550255559384823
58;0.008064227178692818;0.0068189529702067375
59;0.008967850357294083;0.008612150326371193
60;0.007427973207086325;0.006504612974822521
61;0.008286942727863789;0.005775431636720896
62;0.006867717951536179;0.006127816624939442
63;0.007106525357812643;0.006276287138462067
64;0.0073828669264912605;0.005872808862477541
65;0.00686409929767251;0.006254865322262049
66;0.007446459960192442;0.00538952462375164
67;0.006768126040697098;0.004918101243674755
68;0.005916915833950043;0.005174823105335236
69;0.007209482602775097;0.004749356769025326
70;0.006901980843394995;0.0046654208563268185
71;0.006864433642476797;0.004581312648952007
72;0.006576516665518284;0.004561730194836855
73;0.006094238720834255;0.004623164422810078
74;0.006242501549422741;0.004441685974597931
75;0.005690055899322033;0.004607836250215769
76;0.005850986111909151;0.004910915158689022
77;0.005748664028942585;0.004391978494822979
78;0.005591184366494417;0.004643647465854883
79;0.005200511775910854;0.00462453905493021
80;0.005615736357867718;0.004417853895574808
81;0.005038437433540821;0.00502296257764101
82;0.005524602252990007;0.00448236707597971
83;0.005214893724769354;0.004460861440747976
84;0.005215270444750786;0.004865393042564392
85;0.0051186527125537395;0.0048832762986421585
86;0.005054237321019173;0.004863466136157513
87;0.004959804937243462;0.00507929315790534
88;0.005025576800107956;0.004869816824793816
89;0.004784455522894859;0.005345149431377649
90;0.004862492438405752;0.00434946920722723
91;0.0051183137111365795;0.003739309264346957
92;0.005177157465368509;0.00403254758566618
93;0.005221823696047068;0.003987469710409641
94;0.005254595074802637;0.0034967318642884493
95;0.004367725923657417;0.0035572373308241367
