Model Class: Base_RNN | Hidden Len: 10Epoch;Training_Loss;Validation_Loss
1;3.3218350410461426;1.7737938165664673
2;1.0685597658157349;0.6026516556739807
3;0.3309357464313507;0.19064481556415558
4;0.12587204575538635;0.10030753910541534
5;0.0910799652338028;0.08626096695661545
6;0.08701035380363464;0.08401543647050858
7;0.08644092082977295;0.08348800987005234
8;0.08622389286756516;0.08327127248048782
9;0.08606228232383728;0.08312030136585236
10;0.08591664582490921;0.08298834413290024
11;0.08577919751405716;0.08286578953266144
12;0.0856478288769722;0.08274929970502853
13;0.08552154153585434;0.08263672143220901
14;0.08539965003728867;0.08252640068531036
15;0.08528167009353638;0.08241710811853409
16;0.08516715466976166;0.08230791985988617
17;0.08505570143461227;0.0821981281042099
18;0.08494693785905838;0.08208714425563812
19;0.08484036475419998;0.08197440207004547
20;0.0847354456782341;0.08185943216085434
21;0.08463148772716522;0.08174143731594086
22;0.08452761173248291;0.08161965757608414
23;0.08442272245883942;0.08149294555187225
24;0.08431554585695267;0.08136001974344254
25;0.08420451730489731;0.08121956884860992
26;0.08408809453248978;0.0810704380273819
27;0.08396505564451218;0.08091229945421219
28;0.08383510261774063;0.08074609190225601
29;0.08369938284158707;0.08057423681020737
30;0.08356042206287384;0.08039987087249756
31;0.0834212377667427;0.08022601157426834
32;0.08328427374362946;0.08005465567111969
33;0.08315061777830124;0.07988622039556503
34;0.08302005380392075;0.07971982657909393
35;0.08289121091365814;0.07955338060855865
36;0.08276190608739853;0.07938379049301147
37;0.0826292634010315;0.07920706272125244
38;0.08248969912528992;0.07901846617460251
39;0.0823388323187828;0.07881205528974533
40;0.08217153698205948;0.07858140766620636
41;0.08198270201683044;0.07832102477550507
42;0.081768698990345;0.0780286192893982
43;0.08152894675731659;0.07770602405071259
44;0.08126553148031235;0.07735734432935715
45;0.08098100870847702;0.0769856795668602
46;0.08067653328180313;0.0765916258096695
47;0.0803518071770668;0.0761743113398552
48;0.08000638335943222;0.07573381811380386
49;0.07964133471250534;0.07527164369821548
50;0.07925914973020554;0.07478689402341843
51;0.07886208593845367;0.0742722749710083
52;0.07845087349414825;0.07371361553668976
53;0.07802470773458481;0.07309283316135406
54;0.07758123427629471;0.07239250093698502
55;0.07711563259363174;0.07160008698701859
56;0.07661950588226318;0.0707099586725235
57;0.07608269900083542;0.06972620636224747
58;0.0755000039935112;0.06867494434118271
59;0.07488039135932922;0.06762443482875824
60;0.07425100356340408;0.06668569147586823
61;0.07364793121814728;0.0659700334072113
62;0.073097363114357;0.06553284078836441
63;0.07260409742593765;0.06535549461841583
64;0.07215677201747894;0.06537070125341415
65;0.07174226641654968;0.06549496203660965
66;0.07135701924562454;0.06564939767122269
67;0.07100863754749298;0.06577621400356293
68;0.07070896029472351;0.06584702432155609
69;0.07046397775411606;0.06585659086704254
70;0.0702696219086647;0.06581324338912964
71;0.07011562585830688;0.06573204696178436
